Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany,EmployeeFeedback
27,No,Sales,2,3,Life Sciences,4,3,Single,4478,1,3,5,Supportive management
31,No,Sales,7,3,Marketing,4,4,Divorced,7547,4,3,7,Good work life balance
32,No,Research & Development,2,4,Medical,1,4,Single,5055,7,2,7,Happy with my salary
28,Yes,Research & Development,2,4,Medical,1,4,Married,3464,5,2,3,No career progression
30,No,Research & Development,28,2,Medical,4,4,Married,5775,1,3,10,Happy with my salary
31,No,Research & Development,7,2,Life Sciences,3,3,Married,8943,1,3,10,Enjoy my work
39,No,Research & Development,7,2,Medical,3,4,Married,19272,1,3,21,I love my team
39,Yes,Sales,3,2,Medical,4,3,Married,5238,4,2,1,No career progression
33,No,Sales,10,3,Marketing,2,4,Single,4682,3,2,7,I love my team
47,No,Research & Development,5,5,Life Sciences,4,3,Married,18300,4,3,3,I love my team
43,No,Research & Development,10,4,Life Sciences,3,3,Divorced,5257,1,4,9,Supportive management
27,No,Sales,1,1,Marketing,3,2,Married,6349,0,3,5,Happy with my salary
54,No,Research & Development,20,4,Life Sciences,4,3,Single,4869,3,2,4,Great learning opportunities
43,No,Research & Development,7,3,Life Sciences,3,1,Married,9985,8,2,1,Good work life balance
45,No,Research & Development,8,4,Other,4,4,Married,3697,9,3,10,I love my team
40,No,Sales,1,2,Medical,2,4,Married,7457,2,2,4,Supportive management
29,Yes,Research & Development,8,4,Other,2,1,Married,2119,1,2,7,No growth opportunities
29,No,Research & Development,9,5,Other,2,4,Single,3983,0,3,3,Enjoy my work
30,No,Sales,5,3,Marketing,4,3,Divorced,6118,1,3,10,Good career growth
27,No,Sales,8,4,Marketing,2,2,Married,6214,1,3,8,I love my team
37,No,Research & Development,5,2,Medical,4,4,Divorced,6347,7,2,6,Great learning opportunities
38,No,Research & Development,15,2,Life Sciences,3,4,Divorced,11510,0,3,11,I love my team
31,No,Research & Development,7,4,Medical,3,4,Single,7143,1,2,11,Good work life balance
29,No,Sales,10,1,Marketing,4,2,Divorced,8268,1,3,7,Great learning opportunities
35,No,Research & Development,5,4,Technical Degree,3,2,Single,8095,0,3,16,Supportive management
23,No,Research & Development,26,1,Life Sciences,3,4,Divorced,2904,1,2,4,Good career growth
41,No,Research & Development,6,3,Medical,4,2,Single,6032,6,3,5,Supportive management
47,No,Sales,4,1,Medical,2,3,Single,2976,3,3,0,Enjoy my work
42,No,Research & Development,23,5,Life Sciences,1,4,Single,15992,2,3,1,Great learning opportunities
29,No,Sales,2,3,Life Sciences,4,3,Married,4649,1,2,4,Great learning opportunities
42,No,Human Resources,2,1,Technical Degree,3,3,Divorced,2696,0,3,3,Supportive management
32,No,Research & Development,2,3,Medical,3,2,Married,2370,1,3,8,Good work life balance
48,No,Sales,29,1,Medical,1,3,Married,12504,3,1,0,I love my team
37,No,Research & Development,6,3,Medical,3,1,Divorced,5974,4,3,7,Good work life balance
30,No,Sales,25,2,Technical Degree,4,3,Married,4736,7,4,2,Great learning opportunities
26,No,Sales,1,3,Life Sciences,3,3,Married,5296,1,3,8,Great learning opportunities
42,No,Research & Development,2,4,Other,1,4,Single,6781,3,3,1,Good career growth
21,Yes,Sales,1,1,Technical Degree,1,2,Single,2174,1,3,3,No growth opportunities
36,No,Sales,1,5,Medical,4,4,Single,6653,4,3,1,I love my team
36,No,Sales,3,4,Medical,1,4,Married,9699,4,3,13,Supportive management
57,No,Research & Development,1,4,Medical,4,3,Married,6755,2,3,3,Great learning opportunities
40,No,Research & Development,10,4,Life Sciences,4,3,Married,2213,3,3,7,Happy with my salary
21,No,Sales,9,2,Medical,1,4,Single,2610,1,2,3,Enjoy my work
33,Yes,Sales,5,3,Marketing,4,3,Single,2851,1,3,1,Work is stressful
37,No,Research & Development,10,3,Medical,3,1,Married,3452,6,3,5,Good work life balance
46,No,Research & Development,7,4,Medical,3,3,Married,5258,2,4,1,Happy with my salary
41,Yes,Sales,4,3,Marketing,1,2,Single,9355,1,3,8,Work is stressful
50,No,Research & Development,10,3,Technical Degree,4,4,Single,10496,6,3,4,Enjoy my work
40,Yes,Sales,22,2,Marketing,3,3,Married,6380,2,3,6,No recognition from management
31,No,Research & Development,9,4,Life Sciences,3,2,Single,2657,0,3,2,Happy with my salary
21,Yes,Sales,12,3,Life Sciences,3,2,Single,2716,1,3,1,I feel stuck in my role
29,No,Research & Development,23,3,Life Sciences,4,4,Single,2201,9,3,3,Supportive management
35,No,Research & Development,9,4,Life Sciences,3,2,Single,6540,9,3,1,Happy with my salary
27,No,Research & Development,1,2,Medical,4,2,Divorced,3816,1,3,5,Good work life balance
28,No,Sales,9,4,Life Sciences,2,4,Single,5253,1,3,7,Great learning opportunities
49,No,Research & Development,7,3,Other,2,3,Single,10965,8,3,5,Good work life balance
51,No,Sales,14,2,Life Sciences,3,4,Married,4936,4,2,7,Supportive management
36,No,Research & Development,2,3,Life Sciences,4,3,Married,2543,4,3,2,Good career growth
34,Yes,Sales,19,3,Marketing,1,4,Single,5304,8,2,5,Poor work life balance
55,No,Research & Development,2,3,Life Sciences,3,4,Single,16659,2,3,5,Great learning opportunities
24,No,Sales,10,4,Marketing,4,3,Divorced,4260,1,4,5,Enjoy my work
30,No,Sales,2,1,Technical Degree,3,2,Married,2476,1,3,1,Great learning opportunities
26,Yes,Research & Development,3,1,Technical Degree,3,1,Single,3102,0,3,6,No growth opportunities
22,No,Research & Development,11,3,Medical,1,2,Married,2244,1,3,2,Great learning opportunities
36,No,Sales,2,2,Medical,2,3,Married,7596,1,3,10,Great learning opportunities
30,Yes,Research & Development,4,3,Technical Degree,3,4,Single,2285,9,3,1,Poor work life balance
37,No,Research & Development,14,3,Life Sciences,4,1,Divorced,3034,1,2,18,Enjoy my work
40,No,Sales,2,2,Marketing,4,2,Divorced,5715,7,3,5,I love my team
42,No,Research & Development,1,4,Life Sciences,2,1,Divorced,2576,3,3,5,Happy with my salary
37,No,Research & Development,10,4,Life Sciences,3,2,Single,4197,2,2,1,Supportive management
43,No,Research & Development,12,3,Life Sciences,1,2,Divorced,14336,1,3,25,Supportive management
40,No,Research & Development,2,3,Medical,2,3,Married,3448,6,3,1,Enjoy my work
54,No,Research & Development,5,2,Medical,1,1,Married,19406,4,2,4,I love my team
34,No,Sales,4,4,Marketing,3,3,Married,6538,9,3,3,Supportive management
31,No,Research & Development,7,2,Medical,2,1,Married,4306,1,1,13,Enjoy my work
43,No,Research & Development,21,3,Medical,4,4,Married,2258,7,3,3,Great learning opportunities
43,No,Research & Development,8,4,Other,3,3,Divorced,4522,4,3,5,Enjoy my work
25,No,Sales,4,2,Life Sciences,2,4,Single,4487,1,3,5,Good work life balance
37,No,Research & Development,25,5,Medical,2,3,Married,4449,3,3,13,Good work life balance
31,No,Research & Development,1,2,Life Sciences,4,1,Married,2218,1,3,4,Good work life balance
39,No,Research & Development,1,1,Life Sciences,2,3,Divorced,19197,1,3,21,Happy with my salary
56,No,Sales,6,3,Life Sciences,3,1,Married,13212,9,2,7,Happy with my salary
30,No,Sales,12,3,Technical Degree,2,3,Single,6577,0,3,5,Happy with my salary
41,No,Sales,1,3,Marketing,2,1,Married,8392,1,3,10,Great learning opportunities
28,No,Research & Development,17,2,Medical,3,1,Divorced,4558,1,3,10,Great learning opportunities
25,Yes,Research & Development,3,3,Medical,1,1,Married,4031,5,3,2,Poor work life balance
52,No,Research & Development,3,3,Medical,4,3,Married,7969,2,3,5,Happy with my salary
45,No,Research & Development,10,2,Life Sciences,1,4,Married,2654,3,2,2,Happy with my salary
52,No,Research & Development,4,2,Life Sciences,4,4,Married,16555,2,1,5,Good work life balance
42,No,Research & Development,29,2,Life Sciences,1,3,Divorced,4556,2,3,5,Great learning opportunities
30,No,Research & Development,2,3,Life Sciences,3,4,Single,6091,2,3,5,Supportive management
60,No,Research & Development,7,3,Life Sciences,1,1,Married,19566,5,1,29,Happy with my salary
46,No,Research & Development,18,3,Medical,3,3,Divorced,4810,2,2,10,Great learning opportunities
42,No,Research & Development,28,4,Technical Degree,4,4,Married,4523,0,4,6,Great learning opportunities
24,Yes,Sales,1,1,Technical Degree,1,2,Single,3202,1,3,5,Poor work life balance
34,Yes,Sales,6,2,Marketing,4,3,Divorced,2351,0,2,2,I feel stuck in my role
38,No,Research & Development,2,2,Life Sciences,4,4,Married,1702,1,3,1,I love my team
40,No,Sales,2,4,Life Sciences,3,3,Married,18041,0,3,20,Supportive management
26,No,Research & Development,23,3,Life Sciences,1,4,Divorced,2886,1,1,3,Great learning opportunities
30,No,Research & Development,3,3,Life Sciences,3,4,Married,2097,4,1,5,I love my team
29,No,Research & Development,3,4,Medical,2,3,Married,11935,1,3,10,Supportive management
29,Yes,Research & Development,25,5,Technical Degree,3,2,Married,2546,5,4,2,No recognition from management
19,Yes,Human Resources,2,2,Technical Degree,1,4,Single,2564,1,4,1,Poor work life balance
30,No,Sales,22,4,Other,3,1,Married,8412,0,3,9,Good work life balance
57,No,Sales,29,3,Marketing,1,4,Divorced,14118,3,2,1,Good career growth
50,No,Research & Development,29,4,Life Sciences,2,3,Married,17046,0,3,27,Good work life balance
30,No,Research & Development,2,3,Medical,3,4,Single,2564,0,2,11,Enjoy my work
60,No,Sales,28,3,Marketing,3,1,Married,10266,4,4,18,Enjoy my work
47,No,Research & Development,2,2,Medical,1,4,Divorced,5070,5,3,5,Enjoy my work
46,No,Research & Development,2,3,Life Sciences,1,3,Married,17861,6,1,3,Enjoy my work
35,No,Research & Development,22,3,Life Sciences,4,3,Single,4230,0,3,5,Good work life balance
54,No,Research & Development,8,4,Life Sciences,3,3,Single,3780,7,3,1,Good career growth
34,No,Research & Development,2,4,Life Sciences,4,3,Divorced,2768,3,3,7,Great learning opportunities
46,No,Sales,10,3,Marketing,3,4,Married,9071,2,3,3,Happy with my salary
31,No,Research & Development,9,1,Life Sciences,3,2,Divorced,10648,1,4,13,Enjoy my work
33,Yes,Research & Development,15,1,Medical,2,3,Married,13610,7,4,7,No recognition from management
33,Yes,Research & Development,10,1,Medical,1,4,Divorced,3408,7,3,4,No recognition from management
30,No,Sales,7,1,Marketing,4,2,Single,2983,0,3,3,I love my team
35,No,Research & Development,16,3,Life Sciences,4,3,Married,7632,4,3,8,Good work life balance
31,Yes,Research & Development,20,3,Life Sciences,1,3,Married,9824,3,3,1,No career progression
34,Yes,Human Resources,23,3,Human Resources,2,1,Divorced,9950,9,3,3,No recognition from management
42,No,Research & Development,5,2,Other,2,3,Married,2093,4,3,2,I love my team
36,No,Sales,10,4,Medical,2,4,Single,9980,1,2,10,Enjoy my work
22,Yes,Research & Development,4,1,Technical Degree,3,3,Single,3894,5,3,2,No growth opportunities
48,No,Sales,2,5,Marketing,2,4,Married,4051,2,3,9,Happy with my salary
55,No,Sales,18,5,Life Sciences,1,2,Single,16835,3,3,10,Enjoy my work
41,No,Sales,10,2,Life Sciences,4,4,Single,6230,7,3,14,Supportive management
35,No,Sales,1,3,Marketing,2,3,Married,4717,9,3,11,Supportive management
40,No,Research & Development,6,3,Life Sciences,2,3,Single,13237,7,3,20,Supportive management
39,No,Research & Development,8,1,Life Sciences,3,3,Married,3755,1,3,8,Happy with my salary
31,No,Sales,2,1,Life Sciences,2,4,Single,6582,4,4,6,Happy with my salary
42,No,Research & Development,24,3,Medical,4,1,Married,7406,1,2,10,Good career growth
45,No,Sales,2,3,Other,4,2,Married,4805,0,4,8,I love my team
26,Yes,Human Resources,17,4,Life Sciences,2,3,Divorced,2741,0,2,7,No growth opportunities
29,No,Research & Development,19,3,Technical Degree,4,4,Divorced,4262,4,4,3,Great learning opportunities
33,No,Research & Development,1,5,Medical,1,3,Divorced,16184,4,3,6,Happy with my salary
31,No,Sales,7,3,Life Sciences,3,4,Divorced,11557,9,2,5,Great learning opportunities
18,Yes,Sales,5,3,Marketing,2,2,Single,1878,1,3,0,No recognition from management
40,No,Sales,28,3,Other,3,1,Divorced,10932,3,3,1,Good career growth
41,No,Research & Development,2,4,Other,1,3,Single,6811,2,3,8,Good career growth
26,No,Sales,29,2,Medical,1,3,Divorced,4306,5,3,0,Good work life balance
35,No,Sales,1,3,Medical,1,3,Single,4859,1,3,5,Enjoy my work
34,No,Sales,21,4,Life Sciences,4,4,Single,5337,1,3,10,Supportive management
26,Yes,Research & Development,24,3,Technical Degree,3,4,Single,2340,1,1,1,Salary is too low
37,No,Research & Development,1,3,Technical Degree,2,4,Single,7491,4,4,6,Supportive management
46,No,Research & Development,18,1,Medical,1,3,Married,10527,5,2,2,Good career growth
41,No,Sales,2,5,Life Sciences,2,1,Married,16595,7,3,18,Great learning opportunities
37,No,Sales,9,4,Medical,1,2,Divorced,8834,1,3,9,Happy with my salary
52,No,Research & Development,6,2,Technical Degree,4,1,Divorced,5577,3,3,10,Good work life balance
32,Yes,Sales,11,4,Other,4,3,Married,4707,8,3,4,No career progression
24,No,Sales,24,3,Medical,4,4,Married,2400,0,3,2,Great learning opportunities
38,No,Research & Development,10,3,Medical,3,3,Married,9824,3,3,1,Good work life balance
37,No,Research & Development,1,4,Life Sciences,2,2,Married,6447,6,2,6,Good career growth
49,No,Research & Development,18,4,Life Sciences,4,3,Divorced,19502,1,3,31,Great learning opportunities
24,No,Research & Development,23,3,Medical,2,4,Married,2725,1,3,6,I love my team
26,No,Sales,28,2,Marketing,1,2,Married,6272,1,4,5,Good work life balance
24,No,Research & Development,17,2,Other,4,2,Married,2127,1,3,1,I love my team
50,No,Human Resources,3,3,Medical,1,2,Married,18200,1,3,32,Happy with my salary
25,No,Sales,13,1,Medical,2,3,Married,2096,1,3,7,Good career growth
24,Yes,Research & Development,7,3,Life Sciences,1,3,Married,2886,1,3,6,No career progression
30,Yes,Sales,12,4,Life Sciences,2,1,Married,2033,1,4,1,No recognition from management
34,No,Research & Development,1,2,Life Sciences,2,4,Married,3622,1,3,6,Good career growth
31,Yes,Sales,13,4,Medical,2,1,Divorced,4233,2,1,3,No career progression
35,No,Research & Development,25,2,Other,1,4,Single,3681,4,3,3,Good work life balance
31,No,Sales,6,4,Medical,1,4,Divorced,5460,4,4,7,Happy with my salary
27,No,Research & Development,6,4,Medical,1,3,Divorced,2187,0,2,5,I love my team
37,No,Sales,2,3,Marketing,4,3,Married,9602,4,2,3,Good career growth
20,No,Research & Development,1,3,Life Sciences,4,2,Single,2836,1,4,1,Great learning opportunities
42,No,Research & Development,2,4,Life Sciences,3,4,Married,4089,1,3,10,Happy with my salary
43,No,Research & Development,6,4,Other,2,4,Divorced,16627,4,2,1,Good career growth
38,No,Research & Development,1,1,Life Sciences,3,1,Single,2619,3,2,0,I love my team
43,No,Research & Development,9,5,Medical,4,3,Divorced,5679,3,3,8,Supportive management
48,No,Research & Development,1,4,Life Sciences,4,1,Married,15402,7,1,3,Supportive management
44,No,Human Resources,1,4,Life Sciences,1,3,Single,5985,4,4,2,Great learning opportunities
34,No,Sales,14,3,Technical Degree,3,3,Divorced,2579,1,3,8,Enjoy my work
27,Yes,Sales,2,1,Marketing,3,1,Divorced,3041,0,3,4,No recognition from management
21,No,Sales,22,1,Technical Degree,3,3,Single,3447,1,3,3,Happy with my salary
44,No,Research & Development,3,4,Other,4,4,Married,19513,4,4,2,Good career growth
22,No,Research & Development,6,1,Medical,1,3,Married,2773,0,3,2,Happy with my salary
33,No,Sales,8,4,Marketing,3,3,Divorced,7104,0,3,5,Good work life balance
32,No,Research & Development,9,4,Life Sciences,1,4,Married,6322,1,2,6,Great learning opportunities
30,No,Research & Development,3,3,Medical,3,3,Divorced,2083,1,3,1,Supportive management
53,No,Sales,1,1,Medical,4,1,Single,8381,7,4,14,Supportive management
34,No,Research & Development,1,5,Life Sciences,2,4,Married,2691,1,2,10,Great learning opportunities
45,Yes,Sales,26,4,Life Sciences,1,1,Married,4286,2,3,1,No recognition from management
26,No,Research & Development,6,3,Life Sciences,3,4,Married,2659,1,3,3,Happy with my salary
37,No,Research & Development,3,3,Other,3,3,Married,9434,1,3,10,Good work life balance
29,No,Sales,3,2,Medical,2,3,Married,5561,1,2,6,Great learning opportunities
35,No,Research & Development,6,4,Life Sciences,2,4,Single,6646,1,3,17,Happy with my salary
33,No,Research & Development,6,3,Life Sciences,3,4,Divorced,7725,3,1,13,Good career growth
54,No,Human Resources,19,4,Medical,3,2,Married,10725,2,4,9,Happy with my salary
36,No,Research & Development,9,2,Medical,2,2,Divorced,8847,2,3,3,Enjoy my work
27,No,Research & Development,3,4,Medical,1,4,Single,2045,0,3,4,Good work life balance
20,Yes,Research & Development,10,1,Medical,4,3,Single,1009,1,3,1,No recognition from management
33,Yes,Research & Development,3,3,Life Sciences,1,1,Single,3348,1,3,10,No growth opportunities
35,No,Research & Development,3,3,Life Sciences,3,3,Married,1281,1,3,1,I love my team
23,No,Research & Development,4,3,Medical,1,1,Married,2819,2,4,3,Good career growth
25,No,Sales,8,3,Life Sciences,4,2,Married,4851,0,3,3,Enjoy my work
38,No,Sales,7,4,Marketing,4,4,Single,4028,0,3,7,Enjoy my work
29,No,Research & Development,1,4,Life Sciences,2,4,Divorced,2720,1,3,10,Good career growth
48,No,Sales,2,1,Marketing,2,2,Married,8120,3,3,2,Supportive management
27,No,Sales,3,1,Medical,4,4,Divorced,4647,1,3,6,Good work life balance
37,No,Research & Development,10,2,Life Sciences,4,4,Single,4680,3,3,1,Supportive management
50,No,Research & Development,28,1,Medical,4,3,Married,3221,1,3,20,Supportive management
34,No,Research & Development,9,3,Medical,4,2,Single,8621,1,4,8,I love my team
24,Yes,Sales,3,2,Life Sciences,1,3,Single,4577,9,3,2,Poor work life balance
39,No,Research & Development,2,4,Technical Degree,4,3,Single,4553,1,3,20,Great learning opportunities
32,No,Sales,10,3,Marketing,4,4,Single,5396,1,2,10,Enjoy my work
50,Yes,Sales,8,2,Technical Degree,2,3,Married,6796,3,3,4,I feel stuck in my role
38,No,Research & Development,1,4,Life Sciences,2,4,Single,7625,0,2,9,Enjoy my work
27,No,Research & Development,1,2,Life Sciences,3,1,Married,7412,1,3,9,Supportive management
32,No,Research & Development,3,2,Life Sciences,3,4,Single,11159,3,3,7,Great learning opportunities
47,No,Sales,14,4,Marketing,4,1,Single,4960,2,3,7,Good career growth
40,No,Sales,5,4,Life Sciences,4,1,Married,10475,5,3,18,Great learning opportunities
53,No,Research & Development,7,3,Life Sciences,3,3,Married,14814,3,3,5,Supportive management
41,No,Human Resources,10,4,Human Resources,2,4,Divorced,19141,3,2,21,Good work life balance
60,No,Sales,16,4,Marketing,1,1,Single,5405,8,3,2,Great learning opportunities
27,No,Research & Development,10,2,Life Sciences,4,1,Divorced,8793,1,2,9,Good work life balance
41,No,Human Resources,1,3,Human Resources,4,3,Married,19189,1,3,22,Good work life balance
50,No,Sales,8,4,Marketing,4,2,Married,3875,7,3,2,Happy with my salary
28,Yes,Research & Development,1,2,Life Sciences,1,2,Single,2216,7,3,7,Work is stressful
36,No,Research & Development,8,3,Life Sciences,1,1,Married,11713,9,3,8,Happy with my salary
38,No,Research & Development,1,3,Life Sciences,3,3,Single,7861,4,4,1,I love my team
44,No,Research & Development,24,3,Medical,1,3,Single,3708,2,3,5,Supportive management
47,No,Sales,3,3,Medical,4,3,Divorced,13770,9,2,22,Good career growth
30,No,Sales,27,5,Marketing,3,4,Divorced,5304,7,2,8,Good career growth
29,No,Sales,10,3,Life Sciences,3,3,Single,2642,1,3,1,Good work life balance
42,Yes,Research & Development,19,3,Medical,3,3,Divorced,2759,6,3,2,Salary is too low
43,No,Sales,15,3,Life Sciences,4,4,Married,6804,3,3,2,Good career growth
34,No,Research & Development,8,2,Medical,2,3,Single,6142,3,3,5,Good work life balance
23,No,Research & Development,9,1,Medical,2,1,Married,2500,1,4,4,Happy with my salary
39,No,Human Resources,3,3,Human Resources,3,2,Married,6389,9,1,8,Happy with my salary
56,No,Research & Development,9,3,Medical,3,4,Married,11103,7,2,10,Good work life balance
40,No,Research & Development,2,1,Medical,4,4,Single,2342,0,2,4,Good work life balance
27,No,Research & Development,7,3,Medical,4,1,Single,6811,8,1,7,Supportive management
29,No,Sales,10,3,Marketing,4,2,Divorced,2297,1,3,2,Enjoy my work
53,No,Research & Development,6,3,Life Sciences,4,4,Single,2450,2,3,2,I love my team
35,No,Research & Development,2,4,Life Sciences,4,1,Divorced,5093,2,4,1,Great learning opportunities
32,No,Research & Development,24,4,Life Sciences,1,4,Married,5309,1,3,10,Great learning opportunities
38,No,Research & Development,2,5,Medical,4,3,Married,3057,6,1,1,Supportive management
34,No,Research & Development,8,5,Life Sciences,2,1,Divorced,5121,3,3,0,Happy with my salary
52,No,Sales,3,4,Marketing,3,1,Married,16856,1,4,34,I love my team
33,Yes,Research & Development,1,4,Other,4,4,Single,2686,1,2,10,No recognition from management
25,No,Sales,26,1,Medical,3,4,Single,6180,1,2,6,I love my team
45,No,Sales,2,2,Technical Degree,2,3,Single,6632,0,3,8,Great learning opportunities
23,No,Research & Development,10,1,Medical,1,3,Single,3505,1,3,2,Good career growth
47,Yes,Sales,27,2,Life Sciences,2,3,Single,6397,4,3,5,Poor work life balance
34,No,Sales,2,3,Other,4,4,Single,6274,1,3,6,Good work life balance
55,Yes,Research & Development,2,3,Medical,4,1,Married,19859,5,3,5,No growth opportunities
36,No,Sales,8,4,Life Sciences,1,1,Single,7587,1,3,10,I love my team
52,No,Research & Development,19,4,Medical,4,4,Married,4258,0,3,4,Supportive management
26,No,Research & Development,1,2,Life Sciences,1,4,Divorced,4364,3,3,2,Supportive management
29,No,Research & Development,27,3,Medical,2,3,Married,4335,4,2,8,Good work life balance
26,Yes,Sales,8,3,Technical Degree,4,1,Single,5326,6,2,4,No career progression
34,No,Research & Development,1,4,Life Sciences,2,4,Single,3280,2,3,4,Happy with my salary
54,No,Research & Development,19,4,Medical,4,1,Divorced,5485,9,3,5,Good career growth
27,No,Sales,8,1,Marketing,3,4,Married,4342,0,3,4,Supportive management
37,No,Research & Development,10,1,Life Sciences,4,1,Divorced,2782,0,2,5,Great learning opportunities
38,No,Research & Development,2,4,Life Sciences,1,1,Single,5980,6,3,15,Supportive management
34,No,Research & Development,2,4,Medical,3,1,Single,4381,1,3,6,Supportive management
35,No,Sales,8,4,Life Sciences,1,4,Married,2572,1,2,3,Enjoy my work
30,No,Research & Development,1,3,Life Sciences,4,3,Married,3833,3,3,2,Enjoy my work
40,No,Research & Development,2,2,Medical,3,2,Married,4244,1,3,8,Supportive management
34,No,Sales,8,2,Life Sciences,3,1,Married,6500,5,3,3,Great learning opportunities
42,No,Research & Development,8,3,Life Sciences,2,4,Divorced,18430,1,2,24,Great learning opportunities
23,Yes,Research & Development,6,3,Life Sciences,3,1,Married,1601,1,3,0,No career progression
24,No,Research & Development,9,3,Life Sciences,3,2,Divorced,2694,1,3,1,Enjoy my work
52,No,Research & Development,11,4,Life Sciences,4,3,Married,3149,8,3,5,I love my team
50,No,Research & Development,2,3,Medical,3,3,Married,17639,5,3,4,I love my team
29,Yes,Research & Development,1,2,Life Sciences,2,1,Married,2319,1,3,1,No recognition from management
33,No,Research & Development,7,3,Medical,3,3,Married,11691,0,4,13,Happy with my salary
33,Yes,Sales,16,3,Marketing,1,1,Single,5324,5,3,3,Salary is too low
47,No,Research & Development,2,2,Other,3,4,Married,16752,1,2,26,Enjoy my work
36,No,Research & Development,1,3,Other,3,2,Married,5228,0,3,9,Good work life balance
29,No,Research & Development,23,2,Life Sciences,3,3,Married,2700,1,3,10,Enjoy my work
58,Yes,Research & Development,2,4,Life Sciences,4,2,Single,19246,7,3,31,Salary is too low
35,No,Research & Development,1,4,Life Sciences,4,3,Single,2506,3,3,2,Supportive management
42,No,Research & Development,1,2,Life Sciences,4,4,Married,6062,9,3,4,Enjoy my work
28,Yes,Research & Development,2,4,Medical,3,3,Single,4382,6,2,2,No growth opportunities
36,No,Human Resources,13,3,Human Resources,3,2,Married,2143,4,3,5,Supportive management
32,No,Research & Development,4,3,Life Sciences,3,3,Married,6162,1,3,14,I love my team
40,No,Research & Development,16,4,Medical,1,3,Single,5094,6,3,1,Happy with my salary
30,No,Research & Development,2,3,Medical,3,4,Single,6877,5,2,0,Supportive management
45,No,Research & Development,2,3,Life Sciences,2,3,Single,2274,1,3,1,Enjoy my work
42,No,Research & Development,29,3,Life Sciences,2,2,Married,4434,1,2,9,Great learning opportunities
38,No,Research & Development,12,3,Life Sciences,1,1,Divorced,6288,2,2,4,Great learning opportunities
34,No,Research & Development,16,4,Life Sciences,3,4,Single,2553,1,3,5,Supportive management
49,Yes,Sales,11,3,Marketing,3,4,Married,7654,1,4,9,No growth opportunities
55,Yes,Sales,2,1,Medical,3,4,Single,5160,4,2,9,Poor work life balance
43,No,Research & Development,14,2,Life Sciences,2,1,Married,17159,6,3,4,Great learning opportunities
27,No,Research & Development,5,1,Technical Degree,3,4,Divorced,12808,1,3,9,I love my team
35,No,Research & Development,7,3,Other,3,3,Single,10221,3,4,8,Supportive management
28,No,Sales,2,4,Marketing,2,2,Married,4779,1,3,8,Great learning opportunities
34,No,Human Resources,3,2,Human Resources,3,4,Married,3737,0,1,3,Supportive management
26,Yes,Research & Development,5,2,Medical,3,3,Married,2366,1,3,8,No recognition from management
27,No,Research & Development,3,3,Medical,4,4,Married,1706,1,2,0,Great learning opportunities
51,No,Sales,26,4,Marketing,1,3,Married,16307,2,2,20,Happy with my salary
44,No,Research & Development,4,3,Medical,4,2,Single,5933,9,2,5,Enjoy my work
25,No,Research & Development,2,1,Medical,1,1,Single,3424,7,2,4,Happy with my salary
33,No,Sales,1,3,Medical,1,1,Divorced,4037,1,3,9,Supportive management
35,No,Research & Development,27,1,Medical,3,1,Single,2559,1,2,6,Enjoy my work
36,No,Sales,1,2,Life Sciences,2,4,Married,6201,1,2,18,Enjoy my work
32,No,Sales,13,4,Life Sciences,2,4,Divorced,4403,2,2,5,Good career growth
30,No,Research & Development,5,4,Life Sciences,2,4,Divorced,3761,9,2,5,Great learning opportunities
53,No,Sales,7,2,Marketing,1,4,Married,10934,7,3,5,Good work life balance
45,No,Sales,9,3,Marketing,4,1,Divorced,10761,4,3,5,Happy with my salary
32,No,Research & Development,8,2,Medical,3,3,Married,5175,5,2,5,Great learning opportunities
52,No,Research & Development,25,4,Medical,3,4,Married,13826,3,3,9,Supportive management
37,No,Sales,16,4,Marketing,4,3,Divorced,6334,4,3,1,Happy with my salary
28,No,Human Resources,8,2,Medical,2,4,Divorced,4936,1,3,5,I love my team
22,No,Research & Development,1,2,Life Sciences,4,4,Married,4775,6,1,2,Good career growth
44,No,Research & Development,8,4,Life Sciences,1,4,Married,2818,2,2,3,Enjoy my work
42,No,Research & Development,2,1,Medical,2,4,Single,2515,5,3,2,Supportive management
36,No,Human Resources,8,3,Life Sciences,1,1,Married,2342,0,3,5,Enjoy my work
25,No,Sales,3,1,Other,3,1,Married,4194,1,3,5,Enjoy my work
35,No,Research & Development,9,3,Life Sciences,4,3,Married,10685,1,3,17,Happy with my salary
35,Yes,Research & Development,25,4,Life Sciences,4,2,Divorced,2022,1,2,10,Work is stressful
32,No,Research & Development,1,3,Life Sciences,4,4,Divorced,2314,0,3,3,Good career growth
25,No,Sales,4,1,Marketing,3,1,Married,4256,1,4,5,Happy with my salary
49,No,Research & Development,1,3,Technical Degree,3,1,Married,3580,2,3,4,Happy with my salary
24,No,Research & Development,4,1,Life Sciences,1,4,Married,3162,0,2,5,Good career growth
32,No,Sales,5,2,Life Sciences,2,2,Married,6524,1,3,10,Enjoy my work
38,No,Sales,9,3,Marketing,2,2,Married,2899,0,3,2,Great learning opportunities
42,No,Research & Development,3,3,Life Sciences,3,4,Married,5231,2,2,5,Good work life balance
31,No,Research & Development,11,4,Life Sciences,4,4,Married,2356,3,3,6,Great learning opportunities
